concurrency,db_pool_size,total_requests,product_reads,inventory_reads,activity_writes,time_seconds,throughput_req_sec,product_avg_latency_ms,product_p95_latency_ms,product_p99_latency_ms,inventory_avg_latency_ms,inventory_p95_latency_ms,inventory_p99_latency_ms,write_avg_latency_ms,write_p95_latency_ms,write_p99_latency_ms,product_pool_wait_avg_ms,inventory_pool_wait_avg_ms,write_pool_wait_avg_ms,product_db_exec_avg_ms,inventory_db_exec_avg_ms,write_db_exec_avg_ms
500,90,100000,60089,24834,15077,4.404,22707.12,20.575,66.939,105.959,20.732,66.319,103.747,23.958,72.770,110.549,16.909,17.048,17.230,1.604,1.618,4.651
1000,90,100000,60201,24904,14895,4.620,21643.36,42.785,146.846,235.214,42.810,145.900,233.991,46.279,150.690,237.321,38.944,38.967,39.160,1.694,1.699,4.964
